filename,url,doc_type,download,title
Ley_de_Proteccion_de_Datos_Personales_en_Posesion_de_los_Sujetos_Obligados_del_Edo_Puebla_30082017.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Proteccion_de_Datos_Personales_en_Posesion_de_los_Sujetos_Obligados_del_Edo_Puebla_30082017.pdf,leyes,1,Ley de Proteccion de Datos Personales en Posesion de los Sujetos Obligados del Edo Puebla
Ley_de_Proyectos_para_Prestacion_de_Servicios_del_Estado_Libre_y_Soberano_de_Puebla_29_dic_2017.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Proyectos_para_Prestacion_de_Servicios_del_Estado_Libre_y_Soberano_de_Puebla_29_dic_2017.pdf,leyes,1,Ley de Proyectos para Prestacion de Servicios del Estado Libre y Soberano de Puebla dic
Ley_de_Rendicion_de_Cuentas_y_Fiscalizacion_Superior_del_Estado_de_Puebla_T7_05072024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Rendicion_de_Cuentas_y_Fiscalizacion_Superior_del_Estado_de_Puebla_T7_05072024.pdf,leyes,1,Ley de Rendicion de Cuentas y Fiscalizacion Superior del Estado de Puebla T7
Ley_de_Resocializacion_de_los_Infractores_Normativos_20122013.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Resocializacion_de_los_Infractores_Normativos_20122013.pdf,leyes,0,Ley de Resocializacion de los Infractores Normativos
Ley de Responsabilidad Patrimonial para el Estado de Puebla_EV_19092023.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Responsabilidad_Patrimonial_para_el_Estado_de_Puebla_EV_19092023.pdf,leyes,1,Ley de Responsabilidad Patrimonial para el Estado de Puebla EV
Ley_de_Responsabilidades_de_los_Servidores_Publicos_del_Estado_de_Puebla__02dic2020.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Responsabilidades_de_los_Servidores_Publicos_del_Estado_de_Puebla__02dic2020.pdf,leyes,1,Ley de Responsabilidades de los Servidores Publicos del Estado de Puebla dic2020
Ley_de_Salud_Mental_del_Estado_de_Puebla_T6_12102021.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Salud_Mental_del_Estado_de_Puebla_T6_12102021.pdf,leyes,0,Ley de Salud Mental del Estado de Puebla T6
Ley de Salud Mental y Adicciones para el Estado de Puebla_T4_15082024.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Salud_Mental_y_Adicciones_para_el_Estado_de_Puebla_T4_15082024.pdf,leyes,1,Ley de Salud Mental y Adicciones para el Estado de Puebla T4
Ley_de_Sanidad_Vegetal_del_Estado_de_Puebla_29_dic_2017.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Sanidad_Vegetal_del_Estado_de_Puebla_29_dic_2017.pdf,leyes,1,Ley de Sanidad Vegetal del Estado de Puebla dic
Ley_de_Seguridad_Integral_Escolar_para_el_Estado_Libre_y_Soberano_de_Puebla_T4_8112021.pdf,https://ojp.puebla.gob.mx/media/k2/attachments/Ley_de_Seguridad_Integral_Escolar_para_el_Estado_Libre_y_Soberano_de_Puebla_T4_8112021.pdf,leyes,1,Ley de Seguridad Integral Escolar para el Estado Libre y Soberano de Puebla T4
